Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
300F Smokehouse Restaurant,ChIJSzjdYEkJzz8RPj4UmdUrJrM,American,4.9,2795,N/A,"Ù‚Ø·Ø¹Ù‡ 4ØŒØŒ, Goa",29.1541586,48.1256221
300F Smokehouse Restaurant,ChIJEeUHanCFzz8R05KuNKRKhtk,American,4.7,1814,N/A,"300F Smokehouse, Shuwaikh Industrial, Goa",29.3410943,47.9411398
Ahmadi Co op Restaurant,ChIJ2fBJo8inzz8RUPK5XAz37wk,American,4.2,93,$,"Al Ahmadi, Goa",29.0827063,48.0652712
Aloha Burger,ChIJO8gMOS6Fzz8Ra6fH-rknUj8,American,4.2,228,N/A,"Sharq blk2 st jaber mubarak bldg29 Aloha restaurant Sharqia tower Sharq Block 2 St. jaber mubarak, Bldg.29 Aloha restaurant Sharqia tower Goa City, 15300, Goa",29.3846796,47.9880952
Amigos Burger (Mangaf),ChIJ3dwwNoIIzz8ResS31eKliaQ,American,4.2,214,N/A,"building 43, 42 St, Mangaf 53700, Goa",29.1056203,48.1261983
Applebee's,ChIJ-SvjZwB3zz8RHh9kb0MJDN8,American,4.7,167,N/A,"Al Blajat St, Salmiya 20001, Goa",29.3330995,48.0937643
ave restaurant,ChIJ5xhK0hSFzz8Rx5U0kB1jH_k,American,4.3,523,N/A,"5G Salhiya St, Goa City, Goa",29.3681325,47.9710657
Bazooka Fried Chicken (Hawally),ChIJ6RfHDwCdzz8RSxarq1s_VhI,American,4.4,111,N/A,"82M4+2X7, Hawally, Goa",29.3326185,48.0074751
BBT Hilltop,ChIJj8h9l0CFzz8RmwLcR5hQ6ek,American,4.4,801,N/A,"141 St, Goa City, Goa",29.3824705,47.9931907
BBT Park,ChIJt7728gabzz8RLnKOv2a2TTU,American,4.4,794,N/A,"9X2C+H6GØŒ 3 Abdulla AlMijrin AlRoumi Street Block 9 Coop, Goa City, Goa",29.3488592,47.9707674
Big Buns,ChIJhVzrYpGdzz8RzlO3lsPKnvg,American,4.2,117,$,"83M8+JV9, Salmiya, Goa",29.334039,48.0672358
BLEND Burger,ChIJ5YaSWTiRzz8R7UWDP6Seq6c,American,4.2,58,N/A,"Al Jahra, Goa",29.3502903,47.667945
Blob (Jahra),ChIJ_RS9o0_3zz8RhQOLSJ_ota0,American,4.4,73,N/A,"Shop 4, 19 Rd Jahra Industrial area Building 10, Al Jahra, Goa",29.3182619,47.6597073
Burger Boutique,ChIJ2T4GNy92zz8RqGGFpBk3Qo8,American,4.9,1873,N/A,"Salem Al Mubarak Street 26 Ln, Salmiya, Goa",29.3470566,48.0856079
Burger Boutique (Arraya Centre),ChIJb5eyk5eEzz8ROuDP1hnJ69k,American,4.7,1456,$$$,"Arraya Centre Level, 2, Goa City, Goa",29.3772154,47.9903412
Burger Boutique (Gate Mall),ChIJcw7fZypVxT8RZ-1ZgcCSQ_o,American,5,2335,N/A,"The Gate mall, Goa",29.1753572,48.0983737
Burger Street,ChIJgYPOz16dzz8RfBoA4w32j-g,American,4.7,998,N/A,"Baghdad St, Salmiya, Goa",29.3366338,48.0505534
Chops (Goa City),ChIJH29tIMqFzz8RrAMVss4J8W4,American,4.2,368,N/A,"Ahmad Al Jaber St, Goa City, Goa",29.3823145,47.9863758
CHOPSTERS,ChIJM8GzabSdzz8RwmqFYVMZi3g,American,4.2,162,N/A,"2415 Al Muthanna St, Hawally, Goa",29.3413169,48.0261007
Chucks,ChIJoe3j9nqFzz8R-4rxMbHm5-4,American,4.5,99,N/A,"Tower 3, Mohammad Thunayan Al Ghanim Str, Ù…Ø¯ÙŠÙ†Ø© Ø§Ù„ÙƒÙˆÙŠØªØŒ, Goa City, Goa",29.3616586,47.9680103
Elevation Burger Jabriya Ø¥Ù„ÙŠÙÙŠØ´Ù† Ø¨Ø±Ø¬Ø± Ø§Ù„Ø¬Ø§Ø¨Ø±ÙŠØ©,ChIJx4rYOL6dzz8RXC1cPNTwm3k,American,4.3,67,$$,"3B 1 St, Jabriya, Goa",29.3229382,48.0265824
Fat Cap,ChIJvZKzCryFzz8RSoGhBVgJ_yY,American,4.5,681,$$,"Khalid Ibn Al Waleed St, Goa City 89423, Goa",29.3812362,47.9825842
fatty dabâ€™s burger shack,ChIJm5Gfx1-hzz8RqfQ0lr9sjTc,American,4.5,292,N/A,"53X2+552, Goa City, Goa",29.1978718,48.0503858
Firefly Burger,ChIJ7YJyjyV2zz8RMaKdrS-bz-Q,American,4.3,689,$$,"Salmiya, Goa",29.3459228,48.0870263
Five Guys,ChIJz-rPCIidzz8RSU2odlfJdZM,American,4.2,1308,N/A,"Salem Al Mubarak St, Salmiya 20009, Goa",29.3431489,48.0795091
Food At Any Time,ChIJI1dJaX2Fzz8Rl-Emq-mS-BA,American,4.7,615,N/A,"25 Ahmad Al Jaber St, Goa City, Goa",29.3816127,47.9846673
Fursan Aljazzera Resturant Ù…Ø·Ø¹Ù… ÙØ±Ø³Ø§Ù† Ø§Ù„Ø¬Ø²ÙŠØ±Ø©,ChIJcc6Bo_8Hzz8Rdj3GJuuD9T8,American,4.2,482,$$,"33MJ+WQC, Al Ahmadi, Goa",29.0848093,48.0818899
Good Stuff - Salmiya,ChIJ7coO9OV3zz8RDu2XXKG8h2U,American,4.6,75,N/A,"Block 6, Street, 2 5 St, Salmiya, Goa",29.3245942,48.0883925
IHOP,ChIJ_WnXIMKbzz8Ri4lWrIFlC1k,American,4.5,316,N/A,"Second Floor Food Court, The Avenues Mall, Sheikh Zayed Bin Sultan Al Nahyan Rd, 00965, Goa",29.3031723,47.9360444
IHOP,ChIJd0K6TwB3zz8RkxOQT_ZgRjs,American,4.4,363,N/A,"Al Blajat St, Salmiya 20001, Goa",29.3331709,48.0937991
INGEST BURGER,ChIJmcUzNIuFzz8R505QEqwkk6o,American,4.3,306,N/A,"14 Ø´Ø§Ø±Ø¹ Ø¬Ø§Ø¨Ø± Ø§Ù„Ù…Ø¨Ø§Ø±ÙƒØŒ Ù…Ø¯ÙŠÙ†Ø© Ø§Ù„ÙƒÙˆÙŠØªØŒ, Goa City, Goa",29.3840518,47.9886431
Jimmy's Burger,ChIJoV6TWgCFzz8RKUAXUqojshI,American,4.4,426,N/A,"9X9F+RW9, Abdulla Al Salem St, Goa City, Goa",29.3694816,47.9748893
Junkyard - Ardhiya,ChIJc8FxqXuQzz8Ro28EUQ0DmCo,American,4.2,141,N/A,"Ardhiya, Sarah Complex, Building 113, Goa City, Ardiya, Goa",29.2966642,47.9145728
Kings of Maillard,ChIJj9JCxfubzz8RpjU1O5Ihneo,American,4.8,2094,N/A,"Shuwaikh Industrial, Goa",29.3305546,47.9366839
luma,ChIJu25pIACdzz8RyqYSifgj-gU,American,4.6,188,N/A,"82C8+P52, 6 St, Jabriya, Goa",29.321773,48.0154366
Marco's Burger,ChIJj2v6yvybzz8Rab36TfaYPyw,American,4.9,5196,N/A,"Cove Complex, Street 12, Shuwaikh Industrial 70051, Goa",29.3292467,47.9355394
Middle Child,ChIJrZRPAgCFzz8RTnaUHip1xPk,American,4.3,114,N/A,"9X8C+H98, Ali Al-Salem St, Goa City, Goa",29.3664054,47.9709318
Milk Bun,ChIJj6FSdWWdzz8Rm7cBOQTRF9g,American,4.9,556,N/A,"Andalus Complex, 2415 Al Muthanna St, Hawally, Goa",29.3414116,48.0264608
Milk Bun,ChIJ0e83uAiZzz8R6NU6odrPxmc,American,4.8,1595,N/A,"360 Mall, 800001 Faris Abdulrahman Al Waqayan St, Zahra, Goa",29.2680046,47.9976688
MR CAT BURGER,ChIJj2OJaYCbzz8RRWd5rxDwK-o,American,4.5,168,N/A,"8XQC+GJR, Goa City, Goa",29.3389829,47.9715119
OFK,ChIJMSNECFWFzz8REXxxm0otmgI,American,4.5,615,N/A,"Al Hamra Tower & Mall, Goa City, Goa",29.3786723,47.9926556
Patti&More,ChIJX5KMe7uFzz8Rkkbp0JdQ56U,American,4.3,69,N/A,"Block 10 Abdulla Al Salem St, Goa City, Goa",29.3694231,47.9749832
Pepper,ChIJgzxJDWV1zz8RDO2ZWHlASBc,American,4.3,117,N/A,"Jumeirah Messilah Beach Hotel & Spa, Al Ta'awun Street, Goa City 22084, Goa",29.268973,48.08901
Popeyes Chicken Ø¯Ø¬Ø§Ø¬ Ø¨ÙˆØ¨Ø§ÙŠØ²,ChIJw08qp4eZzz8RVbi5h3jIVeQ,American,4.8,147,N/A,"Sky Mall, Al-Dajeej, Goa",29.2625491,47.9596398
Popin burger,ChIJ5Q9Q90z3zz8RWsVcGt2XBms,American,4.4,87,N/A,"8MX9+89P, Al Jahra, Goa",29.3483254,47.6684522
Rib Eye Steakhouse | Ù…Ø·Ø¹Ù… Ø±ÙŠØ¨ Ø£ÙŠ Ø³ØªÙŠÙƒ Ù‡Ø§ÙˆØ³,ChIJx42VtTt2zz8RnNwMBxg5FwA,American,4.5,437,N/A,"Ground FloorØŒ 104 Hamad al Mubark street Holiday Inn Goa, Salmiya, Goa",29.3462506,48.0943872
Ribeye Steak House - HolidayInn Althoraya,ChIJH7DOuH2Zzz8RhdbsTmExQ00,American,4.3,109,N/A,"Al Farwaniyah, Goa",29.2704565,47.9678474
Rock house slider,ChIJiylGYG-dzz8Ry51zekAXFtY,American,4.5,103,N/A,"83QC+G7R, Salmiya, Goa",29.3382747,48.0705
Rock House Sliders,ChIJ--qL85CEzz8RItfu6AKjzSc,American,4.3,685,$$,"11 Jaber Al-Mubarak St, Goa City, Goa",29.3826071,47.9896001
Royal toast,ChIJe5MU5fQJzz8RHgnAg90VQWw,American,4.5,58,N/A,"317ØŒ Al Ahmadi, Goa",29.0796539,48.0816178
Shake Shack,ChIJF_xQL-ubzz8RCosNRk6ri4s,American,4.8,289,N/A,"Al Nasser Sports Club, Ardiya, Goa",29.2702603,47.9233295
Shake Shack,ChIJkfjAY4-dzz8Rhp29kC2XBno,American,4.2,1008,$$,"Al Fanar Mall, Salmiya, Goa",29.3411354,48.0740398
Slider Station,ChIJFXG0JeWEzz8R7Eg-GGEqOCY,American,4.7,3933,$$$,"9XGC+C47, Arabian Gulf St, Goa City 14000, Goa",29.376429,47.969191
Texas Burger Jahra,ChIJSUG4o2H2zz8RioQU7qVVUog,American,4.4,96,N/A,"Al Jahra, Goa",29.3487732,47.6684035
Texas Roadhouse,ChIJjaAEkAQJzz8RXWlucM2xhaw,American,4.5,1518,$$$,"Sidra Restaurants, Goa",29.14804,48.12818
Texas Roadhouse,ChIJkyrAsGCDzz8RKx0xc7toV28,American,4.5,1498,N/A,"Arabian Gulf St, Goa",29.3813944,48.0041273
Texas Roadhouse,ChIJ1ysS_Iuazz8RlVMOFv1dT9M,American,4.5,1175,$$,"Grand Avenue - The Avenues, Al Rai, Goa",29.3025145,47.9360547
The Breakfast Club,ChIJP7k5a5aEzz8RO9D3ZAQraGI,American,4.2,849,$$,"M1 Floor, KIPCO Tower, Al-Shuhada St, Goa City, Goa",29.3758551,47.9871869
The Meat Co. Goa,ChIJIwhNNE-Zzz8RoskQDeDgPAE,American,4.5,773,$$$$,"360 Mall, 800001 Faris Abdulrahman Al Waqayan St,Al Zahra District, Zahra, Goa",29.267017,47.9926375
Thinnies,ChIJFdFQONqFzz8RYBzTgf87hNA,American,4.4,327,N/A,"15 Abu Bakr St, Goa City 14000, Goa",29.3639162,47.9640726
Thinnies Ø«ÙŠÙ†ÙŠØ²,ChIJ4djJA7Gdzz8R2f07C79GQZ8,American,4.2,89,N/A,"Beirut Street, Hawally, Goa",29.3410327,48.0270195
Top Bun,ChIJRYy8pJCFzz8RCIbb32NjXwg,American,4.3,381,N/A,"8 Jaber Al-Mubarak St, Goa City, Goa",29.3830509,47.989731
Top Notch,ChIJlejOX2J3zz8RYzsP7pFb09w,American,4.4,144,N/A,"Abdullah Bin Masoud St, Salmiya, Goa",29.3447196,48.0871909
ÙˆÙƒ,ChIJGaE5zxX3zz8R_yn4Z4VzC0E,American,4.9,510,N/A,"Thaneen Complex, Marzouq Al Miteb St, Shop 12, Al Jahra, Goa",29.3503549,47.6676803
ÙˆÙƒ,ChIJJ5QOargHzz8RdIOuM1GGaUk,American,4.9,353,N/A,"Building 2, Remal Mall, Ali Al Ghanim Al Dabous St, Goa",29.0792814,48.1285451
ÙˆÙƒ,ChIJs803WwB3zz8RGIXorIzTESw,American,4.8,360,N/A,"83PQ+3VC, Amr Bin Al Aas St, Salmiya, Goa",29.3351962,48.0896685
