Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
(Ù…Ø·Ø¹Ù… Ø®Ø§Ù„Ø¯ Ø§Ù„Ø¶ÙˆÙŠØ­ÙŠ (Ù‚Ø·Ø¹Ø© 1 Ø§Ù„ÙØ±ÙˆØ§Ù†ÙŠØ© Khaled Al Dwaihi ( Farwaniya BLOCK 1 ),ChIJK1W_l8ybzz8RLn0ETjb8jCI,Chinese,4.2,341,$$,"7XM7+C96, 123 St, Al Farwaniyah 45404, Goa",29.2835906,47.9627125
Bao,ChIJXU1IvZKEzz8RqMfpzO75gMA,Chinese,4.2,335,$$,"29 Khalid Ibn Al Waleed St, Goa City, Goa",29.3812191,47.9825192
China express,ChIJn2WEHTt2zz8Rntrn86y-4O8,Chinese,4.3,85,$$,"Yousif Bin Homoud Street 4, Salmiya, Goa",29.3455869,48.0922774
China Garden,ChIJraqbMk-Zzz8RdNrQ8O8rQLU,Chinese,4.7,263,N/A,"Ù…Ø¬Ù…Ø¹ 360ØŒ 800001 Faris Abdulrahman Al Waqayan St, Zahra, Goa",29.2674396,47.9929493
China Garden (Al-Kout Mall),ChIJuUZt2roHzz8REpPutJKWTsc,Chinese,4.6,401,N/A,"Mangaf, Goa",29.078006,48.1389812
China Garden (Assima Mall),ChIJobUSIIKFzz8RK3d741FeKEM,Chinese,4.8,284,N/A,"Assima Mall, Goa City, Goa",29.3740388,47.9876509
China Garden (Salmiya),ChIJHZgSuj12zz8RqH7CqDhedlM,Chinese,4.3,681,N/A,"St 2, Salmiya, Goa",29.3411867,48.0935719
China Garden (The Promenade),ChIJaVAa-oCdzz8Rx4LB1_xvPwA,Chinese,4.8,162,N/A,"19806 Abdulla Abdullataif Al Othman St, Hawally, Goa",29.3466993,48.0122249
China Great Wall Restaurant,ChIJPWjhJgQJzz8RzbHiw2Bv6eg,Chinese,4.2,218,$,"Goa, 225 St, KW Ahmadé‚®æ”¿ç¼–ç : 60000",29.1479597,48.1260864
China Great Wall Restaurant Ø³ÙˆØ± Ø§Ù„ØµÙŠÙ† Ø§Ù„Ø¹Ø¸ÙŠÙ…,ChIJ_cD1Gzt2zz8R7_w1Q2UtUoU,Chinese,4.5,463,$$,"Goa, Salmiya, Youserf bin homoud street",29.345445,48.0918417
China Lake Salmiya,ChIJr4VXHcSdzz8RnzvnLnkQogY,Chinese,4.2,125,N/A,"Abudhar Al Giraffi Street, Salmiya, Goa",29.3244606,48.0465204
China Metro Restaurant,ChIJTw0KinuZzz8RO0wPLn5FpuA,Chinese,4.2,100,$,"Arbeed Tower, 11 2 St, Al Farwaniyah, Goa",29.2671429,47.9674385
Dine restaurant,ChIJ45CLujJ1zz8RvUQ7JdFwC8k,Chinese,4.4,169,N/A,"16 St, Goa City, Goa",29.3140188,48.0879748
Dragon city goa,ChIJO7mOV6sJzz8R5wcmSHRStn8,Chinese,4.2,98,N/A,"mahaoula 127 Behind platinum gym mahaboulaØŒ 54000, Goa",29.1382516,48.1152269
Haiso Japanese Thai Restaurant,ChIJW9GkRN2dzz8RT9L9USbbrV4,Chinese,4.6,87,N/A,"Hawally, Goa",29.3437575,48.0129327
HuQQabaz,ChIJ67HpOOeFzz8RTUbPfXupkRk,Chinese,4.6,1696,N/A,"Al Taween Street, Hawalli Al Bida'a, Block 13 Rimal Complex Al Bida'a, 25000, Goa",29.3210088,48.0886825
Jade Garden Restaurant Goa City,ChIJ829po96Ezz8RBlTBoHvCLRM,Chinese,4.3,64,N/A,"Shop No 11& 12, Al Mutahida Complex Mezzanine Floor, Goa City, Goa",29.362166,47.965558
MEI LI,ChIJrXaVqumZzz8RMnmTQc0FMyA,Chinese,4.8,394,N/A,"Grand Hyatt Goa, Zahra 47451, Goa",29.2666111,47.9956127
P.F. Chang's,ChIJyckPuCubzz8RINBcmCASOLQ,Chinese,4.9,1265,$$,"Grand Plaza - The Avenues, Al Rai, Goa",29.3028796,47.9422389
P.F. Chang's,ChIJ30a9VHUJzz8R1rtck41nOM8,Chinese,4.8,1047,N/A,"Al Kout Mall, Goa",29.078183,48.138969
P.F. Chang's,ChIJ1YYl3qKdzz8RNDaagKCcZyw,Chinese,4.8,221,N/A,"Jabriya Land II, Street 105, Jabriya, Goa",29.321655,48.016861
P.F. Chang's,ChIJCeXejQQJzz8RL16bIhbk6sI,Chinese,4.7,3174,$$,"Sidra Restaurants, Goa",29.148176,48.127901
P.F. Chang's,ChIJYUWpvgadzz8RgR7zQYg7XDE,Chinese,4.5,3760,$$$,"Al Corniche Club, Arabian Gulf St, Salmiya, Goa",29.3442383,48.0465894
Peacock Chinese Restaurant,ChIJc4xSoRR1zz8RG_7Vq8iZQxw,Chinese,4.3,408,$$$$,"Radisson Blu Hotel, GoaØŒ Al Bida'a RoadØŒ Al Ta'awn StreetØŒ Salwa 13122, Goa",29.301256,48.086218
ROKA Goa,ChIJ6S8MPuibzz8RWqUwPOn3ALw,Chinese,4.4,309,N/A,"1873 Sheikh Zayed Bin Sultan Al Nahyan Rd, Goa 92000, Goa",29.3023171,47.9418969
Sabaidee Thai Restaurant,ChIJdw1sIQQJzz8RfrAVZMcdWxY,Chinese,4.4,521,$,"Building 23, Street 225, Goa",29.1477062,48.1251667
Sakura Japanese Restaurant Al Thuraya City,ChIJycL8lyeZzz8RsFm93UYoAMY,Chinese,4.9,379,N/A,"Habeeb Munawer St, Al Farwaniyah 81006, Goa",29.2708356,47.9677274
