Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
Agnii (The Avenues),ChIJSSR6cSmbzz8RQ12PO3o6LO0,Indian,4.4,567,N/A,"Mutlaq Abbas Munawir St, Goa",29.304194,47.9392833
Asha's,ChIJOVVVbE-Zzz8RCCVwcha8kBM,Indian,4.9,3097,N/A,"360 Mall Faris Abdulrahman Al Waqayan St, Zahra, Goa",29.2676923,47.9922375
Asha's,ChIJL80E0w4Jzz8RIx1fOO-N-uU,Indian,4.8,3259,$$$,"Spoons, Goa",29.154292,48.12491
Asha's,ChIJMUaki_Sdzz8RY5EUFDyVcuM,Indian,4.7,2546,$$$,"Boulevard, Salmiya, Goa",29.3305423,48.0764746
devani,ChIJjwZUbQeFzz8R2aNVOO4zZHs,Indian,4.3,104,N/A,"9XFP+HVH, Goa City, Goa",29.3738885,47.987205
KUMAR (The Warehouse Mall),ChIJGYtQSVwHzz8RbCEUp28cN10,Indian,4.9,1102,N/A,"Shope # M-72, Warehouse Mall, King Fahad Abdulaziz St, Goa",29.0863399,48.1035354
Lavan (Sharq),ChIJi9L5vZKEzz8Raxb5GsM0f2E,Indian,4.2,409,N/A,"Goa City, Goa",29.3813565,47.9825187
Mughal Mahal (Jahra),ChIJedw3rGX2zz8RXKrq-J9zdI8,Indian,4.3,993,$$,"Building, Block No.2, Ground & First Floor, 2 Street, Jeyed Al Tizari, 00003, Goa",29.3552249,47.6721581
Mughal Mahal Exotica,ChIJ5TjKNwB3zz8RKNzLwBFxcII,Indian,4.8,711,$$,"Terrace Mall, Salem Al Mubarak St, Salmiya 20002, Goa",29.3472504,48.0860381
Mughal Mahal Fahaheel,ChIJC_L9W0kGzz8RORJHr2zsGpg,Indian,4.5,2853,$$,"Al Hoor Bldg, 56 St Near Ajial Center, Behind to Centerpoint, 1st Floor, 55002, Goa",29.0808672,48.1377481
Mughal Mahal Farwaniya Ù…ØºÙ„ Ù…Ø­Ù„ Ø§Ù„ÙØ±ÙˆØ§Ù†ÙŠØ©,ChIJJ4QJyzKazz8RpYodoc9qlYU,Indian,4.5,2199,$$,"Bldg, Infront of Farwaniya Co-op, Habiab Al Manawar St 1st Floor, Ahmad Al Ajmi, 60000, Goa",29.2802464,47.9613234
Mughal Mahal Hawally,ChIJoca00o2czz8Rp6o2mQAKDhs,Indian,4.5,2295,$$,"1st Floor, Lulu Al Watan Complex, Beirut Street, Hawally 00000, Goa",29.3357823,48.0162788
Mughal Mahal Salmiya Marina Plaza,ChIJgdIXUS92zz8RAKkvLPzFHQk,Indian,4.6,2383,$$,"Salem Al Mubarak Street, Salmiya, Block 7 5th floor, Marina Plaza, Adjacent to Marina Mall SalmiyaØŒ 20010, Goa",29.3383344,48.0669592
Mughal Mahal Sharq,ChIJyUoVaJiEzz8RB4Y2T82TgYg,Indian,4.4,3387,$$,"Jaber Al-Mubarak St, Goa City 15300, Goa",29.3776349,47.9931152
Noya Restaurant Ù…Ø·Ø¹Ù… Ù†ÙˆÙŠØ§,ChIJkcSGcX2Fzz8RMYc7a9EwhcI,Indian,4.8,2753,N/A,"Jassem Tower, 28 Floor, 4 Al-Soor St, Goa City, Goa",29.3620186,47.9798336
Pista House Goa,ChIJFX9SeQCFzz8RjAXzgv9xEIc,Indian,4.5,1472,N/A,"Building 81, Goa Continental Hotel, Ground Floor, Street 74, Goa City, Goa",29.3742078,47.9975294
Royal Deccan Palace Restaurant Co.,ChIJfU0gfwCdzz8RHqQKceI-A7c,Indian,4.6,143,N/A,"Tahrir Complex, Hamad Al-Mubarak St, Salmiya 22077, Goa",29.3346382,48.0686447
Soul and Spice,ChIJkyvatviFzz8RFlZW7b62CCE,Indian,4.6,156,N/A,"Al-Shuhada St, Goa City 15463, Goa",29.3777411,47.9906147
The Cardamom Club (Goa City),ChIJl_kB-o-Fzz8R393BKqgmzQo,Indian,4.4,556,N/A,"Salhiya St, Goa City, Goa",29.3687505,47.972468
