Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
300F Smokehouse Restaurant,ChIJSzjdYEkJzz8RPj4UmdUrJrM,Italian,4.9,2795,N/A,"Ù‚Ø·Ø¹Ù‡ 4ØŒØŒ, Goa",29.1541586,48.1256221
Al Ahmadi Restaurant,ChIJxSDKxFKZzz8RJxCKtV94LyA,Italian,4.9,1393,N/A,"Habeeb Munawer St, Al Farwaniyah, Goa",29.2769662,47.9627917
Altissimo Restaurant,ChIJM4y2396Ezz8RbhNNkhj-rwM,Italian,4.2,308,$$,"#1 32nd floor, Fahad Al-Salem Street, Goa City, Goa",29.362044,47.964017
Brick Pizza,ChIJ6Xe3A0qhzz8RUfjp3xinGX8,Italian,4.7,136,N/A,"Salem Al Mubarak St, Salmiya, Goa",29.3466939,48.0903757
Cafe Barbera Goa,ChIJkS0sqiidzz8Rv4_UND5VFi4,Italian,4.2,78,N/A,"Qatar St, Salmiya, Goa",29.3291185,48.0766289
Cantina,ChIJAaM6bgGbzz8RH_eGGCw8XnA,Italian,4.4,387,N/A,"Street 28, Shuwaikh Industrial, Goa",29.3218543,47.9533877
Cucina Restaurant,ChIJZaNPsCh2zz8RKrZFSmDMbyU,Italian,4.3,181,N/A,"Salem Al Mubarak St, Salmiya, Goa",29.346169,48.0848166
Da Gusto-Trattoria Italiana,ChIJCTlkYrV3zz8R4rSREjkV75M,Salmiya,4.4,29,N/A,"Marzouq Pearl, 1 St, Salmiya, Goa",29.350859,48.0963519
Delizio,ChIJa786UxkLzz8RYy78sxfrsMk,Italian,4.3,179,N/A,"mall 30, Goa",29.1950324,48.1102198
Delizio in the city,ChIJ539o6jGFzz8Rt_REu3CxrQI,Italian,4.5,339,$$,"9X89+GQ3, Goa City, Goa",29.3663164,47.9694768
Eataly,ChIJnbQTmwCbzz8RME5qPnrIrzE,Italian,4.8,2070,N/A,"Al Rai The Avenues, Ghazali St, Goa",29.304306,47.9433731
Fancy Pizzeria,ChIJr72Bidj3zz8RCDjYV-TZwb0,Italian,4.8,107,N/A,"26 31 St, Al Jahra, Goa",29.3214023,47.6780276
Fired Pizza,ChIJyxhriJmFzz8Rkm7DoyZZAb0,Italian,4.2,148,N/A,"9X9C+54G, Ali Al-Salem St, Goa City, Goa",29.36794,47.9703317
Giovanni Restaurant,ChIJpTOcoeGFzz8RMkC86DeQHaI,Italian,4.4,1531,$$,"Dasman Tower, Street No. 10, Goa City, Goa",29.3905287,47.9978888
Giulia by Vigonovo,ChIJN7nET2OFzz8RGQ-VOhk_aIo,Italian,4.4,698,N/A,"4th St, Shuwaikh Industrial, Goa",29.3425655,47.9393398
Giuseppeâ€™s Pizzeria,ChIJ2UtIAaf7zj8RTleIkomEjqo,Italian,4.9,339,N/A,"Unnamed Road, Sabah Al Ahmad, Goa",28.875288,48.1714644
Haute Dolci Goa,ChIJgbdFth2dzz8RKSBfwfgmM5E,Italian,4.8,2019,N/A,"Alandalus complex, 2415 Al Muthanna St, Hawally, Goa",29.3412509,48.0265865
Il Terrazzo - Restaurant & Lounge,ChIJATiSwtedzz8RAHLOnsHFfkc,Italian,4.3,73,N/A,"Salem Al Mubarak St, Salmiya 36442, Goa",29.3429618,48.0760658
Italian Cucina,ChIJRYXYVV-bzz8R8w-xfXeXcT8,Italian,4.9,116,N/A,"Avenues Mall, 8W4V+486 Shuwaikh Industrial, Goa City 35859, Goa",29.3053125,47.9433125
