Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
Amimoto,ChIJ2aiLukmDzz8RME4ned746iI,Japanese,4.4,179,N/A,"Goa Tower (Main), Arabian Gulf St, Goa City 00000, Goa",29.3897325,48.0032617
ave restaurant,ChIJ5xhK0hSFzz8Rx5U0kB1jH_k,Japanese,4.3,523,N/A,"5G Salhiya St, Goa City, Goa",29.3681325,47.9710657
Ayam Zaman,ChIJaerdbs-Zzz8Rorml8ROkHUA,Japanese,4.4,159,N/A,"Habeeb Munawer St, Al Farwaniyah 81006, Goa",29.2704917,47.9678405
Benihana (Sabah Al Salem),ChIJW2KgB-Cfzz8RScwNw5Pssro,Japanese,4.4,301,N/A,"Street 136, Sabah Al Salem, Goa",29.2580923,48.0796742
Bonjiri,ChIJ286Gs7mdzz8Rq-O_Lavh-zg,Japanese,4.5,168,N/A,"Baghdad St Block 9, Lane 9, Building 702 Salmiya, 20009, Goa",29.3377492,48.0577222
Business Lounge Restaurant,ChIJKRQPKaGFzz8Rz7YIYiX5ExM,Japanese,4.9,1214,N/A,"9XGG+Q6P, Mubarak Al Kabeer St, Goa City, Goa",29.3769068,47.9755802
Edo Restaurant-Goa,ChIJFcd8XMmdzz8RhlU7bUWPG9w,Japanese,4.4,62,N/A,"1 3 St. 12 Ln, Salmiya, Goa",29.3378134,48.0508811
Elamigos Restaurant Ras Al-Salmiya,ChIJnXp2nht3zz8R6c8X0IxmQss,Japanese,4.5,318,N/A,"2 St, Salmiya 20000, Goa",29.3476805,48.0941289
Faia Etc,ChIJd3hK5QKdzz8RYgGMdZBQnw0,Japanese,4.4,141,N/A,"4 Al Muthanna St, Hawally, Goa",29.3426599,48.0224244
Fuji Sushi,ChIJ107KkRydzz8R10ZaVYNZs5E,Japanese,4.5,74,N/A,"Ø§Ù„Ø³Ø§Ù„Ù…ÙŠØ© Ù‚Ø·Ø¹Ø© Ø±Ù‚Ù… 4ØŒ, Salmiya, Goa",29.3375312,48.0712953
GangNam Sino Korean Cuisine,ChIJz_dxjQYJzz8R9bKUxu8e3_w,Japanese,4.5,342,$$,"201 St, Goa",29.1477304,48.1237412
Haiso Japanese Thai Restaurant,ChIJW9GkRN2dzz8RT9L9USbbrV4,Japanese,4.6,87,N/A,"Hawally, Goa",29.3437575,48.0129327
KEI Downtown,ChIJPw5DsfCFzz8Rov2KovshYXM,Japanese,4.6,107,N/A,"Abdulmunim Riyadh St, Goa City, Goa",29.3737594,47.988035
KIWA,ChIJzb7XkPydzz8R9jENh8hlx7w,Japanese,4.6,89,N/A,"Boulevard Park, Salmiya, Goa",29.3314849,48.0753236
Korea Gwan,ChIJFcrkquCEzz8R60G9HOR-MtY,Japanese,4.5,364,N/A,"Carlton Tower Hotel, Goa City, Goa",29.36692,47.9658801
Maki,ChIJIRvZ9Jydzz8RNp78--HnnpI,Japanese,4.4,1242,N/A,"Marina Waves, Arabian Gulf St, Salmiya, Goa",29.3450678,48.0681172
Maki (Jasim Tower),ChIJX5AwdMiEzz8RYVHis3dTvJ4,Japanese,4.4,579,$$$,"Burj Jasem, Al-Soor St, Goa City, Goa",29.362151,47.9796408
Maki (Salhiya Mall),ChIJFTUyTcCEzz8R4sBKWK-F9PU,Japanese,4.4,97,N/A,"2nd Mezzanine, Mohammad Thunayyan Al-Ghanem St, Goa City, Goa",29.3643735,47.9672366
Meme's Curry - Avenues,ChIJf1yfHwCbzz8RiClRONt9wHE,Japanese,4.7,217,N/A,"8W2J+W4, Motlaq Abbas Al Monawer Street, Rabia 13003, Goa",29.3023493,47.930254
Meme's Curry - Goa city (Qiblah),ChIJf9iBeCaFzz8RHzQKxDgchSg,Japanese,4.9,67,N/A,"ITS Tower, Mubarak Al Kabeer St, Goa City 26729, Goa",29.3738714,47.9801483
Meme's Curry - Mall 30,ChIJ33VHIkYKzz8R2sTHRDnvltw,Japanese,4.5,366,$$,"88 Street 30, Mall 30, 51410, Goa",29.1951295,48.1097327
Meme's Curry - Salmiya,ChIJSwJ-US92zz8RNfKQqnOVRQk,Japanese,4.4,652,$$,"Salem Al Mubarak St, Salmiya 22002, Goa",29.3468723,48.0856018
Menya IROIRO - Ramen Shop,ChIJGXeFcAqFzz8RjC9fHnxbpPM,Japanese,4.6,164,N/A,"Goa, Goa City, Ahmad Al Jaber St, Oasis Hotel 10th Floor",29.3758734,47.9780849
Mughal Mahal (Jahra),ChIJedw3rGX2zz8RXKrq-J9zdI8,Japanese,4.3,993,$$,"Building, Block No.2, Ground & First Floor, 2 Street, Jeyed Al Tizari, 00003, Goa",29.3552249,47.6721581
ORA Japanese Tapas,ChIJnVhYxfN1zz8RKuyd5S3O0B8,Japanese,4.4,723,$$$,"Goa City, Goa",29.3803662,47.9836855
ROKA Goa,ChIJ6S8MPuibzz8RWqUwPOn3ALw,Japanese,4.4,309,N/A,"1873 Sheikh Zayed Bin Sultan Al Nahyan Rd, Goa 92000, Goa",29.3023171,47.9418969
Sakura Japanese Restaurant Al Thuraya City,ChIJycL8lyeZzz8RsFm93UYoAMY,Japanese,4.9,379,N/A,"Habeeb Munawer St, Al Farwaniyah 81006, Goa",29.2708356,47.9677274
