Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
(Ù…Ø·Ø¹Ù… Ø®Ø§Ù„Ø¯ Ø§Ù„Ø¶ÙˆÙŠØ­ÙŠ (Ù‚Ø·Ø¹Ø© 1 Ø§Ù„ÙØ±ÙˆØ§Ù†ÙŠØ© Khaled Al Dwaihi ( Farwaniya BLOCK 1 ),ChIJK1W_l8ybzz8RLn0ETjb8jCI,Middle Eastern,4.2,341,$$,"7XM7+C96, 123 St, Al Farwaniyah 45404, Goa",29.2835906,47.9627125
Abou Johny Restaurant,ChIJxb19o6Kdzz8RvDbfX5HK7kg,Middle Eastern,4.4,611,$$,"6 Baghdad St. 15 Ln, Salmiya, Goa",29.336872,48.060045
Ahmadi Co op Restaurant,ChIJ2fBJo8inzz8RUPK5XAz37wk,Middle Eastern,4.2,93,$,"Al Ahmadi, Goa",29.0827063,48.0652712
Ahwet Zeitouna,ChIJKwuJbNWDzz8RDhLR1hZVy8c,Middle Eastern,4.3,1930,$$,"Arabian Gulf St, Goa",29.3802785,48.0038258
Al Ahmadi Restaurant,ChIJxSDKxFKZzz8RJxCKtV94LyA,Middle Eastern,4.9,1393,N/A,"Habeeb Munawer St, Al Farwaniyah, Goa",29.2769662,47.9627917
Al nofara restaurant & Cafe Ù…Ø·Ø¹Ù… Ùˆ Ù…Ù‚Ù‡Ù‰ Ø§Ù„Ù†ÙˆÙØ±Ø©,ChIJ24Oi6T-dzz8RW89-31z2F7k,Middle Eastern,4.2,249,$$,"74 St, Salmiya, Goa",29.3380962,48.0649035
Albatroun Restaurant - Ù…Ø·Ø¹Ù… Ø§Ù„Ø¨ØªØ±ÙˆÙ†,ChIJm0gyJQB3zz8R9pGKz6sGjt8,Middle Eastern,4.9,129,N/A,"83PR+MW9, Salmiya, Goa",29.3364778,48.0921122
Al-Bayraq Restaurant,ChIJj4ByeGP2zz8R00gZvcAAliQ,Middle Eastern,4.2,252,N/A,"9M2F+V32, Al Jahra, Goa",29.3521288,47.6726345
Al-Sayed Lebanese Restaurant Ù…Ø·Ø¹Ù… Ø§Ù„Ø³ÙŠØ¯ Ø§Ù„Ù„Ø¨Ù†Ø§Ù†ÙŠ,ChIJW_RmpIuczz8RGJwVQ3N-Aaw,Middle Eastern,4.3,147,$$,"82J9+X4R, Hawally, Goa",29.3324848,48.0177699
Amber,ChIJO47NHrF3zz8RytUdnbzQJOo,Middle Eastern,4.3,99,$$,"Ø¹Ù†ÙˆØ§Ù† Ù…Ø·Ø¹Ù… Ø¹Ù†Ø¨Ø±ØŒ Ù‚Ø·Ø¹Ù‡ ï¿½ï¿½ Ø´Ø§Ø±Ø¹ Ù© Ù‚Ø³ÙŠÙ…Ø© Ù£ Ø¹Ù†ÙˆØ§Ù† Ù…Ø·Ø¹Ù… Ø¹Ù†Ø¨Ø± Ù‚Ø·Ø¹Ù‡ Ù¦, 9 St, Salmiya 20006, Goa",29.3351681,48.0870519
