Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
Agnii Seaview,ChIJlQGQGuUIzz8Rd2MIXAPUn2w,Seafood,4.4,2137,$$,"Salem Sabah Al Salem Al Sabah St, Goa",29.1364258,48.1312208
Ahmadi Co op Restaurant,ChIJ2fBJo8inzz8RUPK5XAz37wk,Seafood,4.2,93,$,"Al Ahmadi, Goa",29.0827063,48.0652712
Al Ahmadi Restaurant,ChIJxSDKxFKZzz8RJxCKtV94LyA,Seafood,4.9,1393,N/A,"Habeeb Munawer St, Al Farwaniyah, Goa",29.2769662,47.9627917
Al Boom Steak & Seafood Restaurant,ChIJnw0HlvN1zz8RSbk8JhZ-lBA,Seafood,4.4,325,N/A,"Radisson Blu Hotel, Goa Al Bida'a Road, Al Ta'awn Street, Goa",29.3014539,48.0880362
Al Gedawy Fish Restaurant,ChIJKfKc6QgJzz8R90bxIX8h1Uw,Seafood,4.6,137,$,"ï¿½ï¿½Ø·Ø¹Ø© 002, 208 St, Goa",29.1572891,48.1167439
Al Gedawy Fish Restaurant,ChIJg7ZylAKbzz8R9XePJvyEWv8,Seafood,4.4,136,N/A,Ø®ÙŠØ·Ø§Ù†ØŒØŒ Goa,29.294928,47.9685507
Al Gedawy Fish Restaurant,ChIJTbBfhA8Jzz8RlfC_Da-ToO4,Seafood,4.2,112,N/A,"Ø´Ø§Ø±Ø¹ Ø§Ù„Ù…Ø·Ø§Ø¹Ù…, Salmiya, Goa",29.3363863,48.0917304
Al Gedawy Seafood Restaurant,ChIJ0RTOD3-dzz8RwXUDUvnvcUQ,Seafood,4.5,241,N/A,"Ø´Ø§Ø±Ø¹ Ø³Ø§Ù„Ù… Ù…Ø¨Ø§Ø±Ùƒ Ø§Ù„Ø³Ø§Ù„Ù…ÙŠØ©ØŒ 44004, Goa",29.3410882,48.0728137
Al Gedawy Seafood Restaurant,ChIJiQFLZQAJzz8R0uitu108Z2A,Seafood,4.5,81,N/A,"Levels Restaurants Complex, 960 Salem Sabah Al Salem Al Sabah St, Goa",29.1419653,48.1294989
Al Marsa,ChIJA2rZ9FmDzz8RtlVdlhPYDHA,Seafood,4.3,292,$$$$,"Le Royal Hotel, Al-Shuhada St, Goa City, Goa",29.3805765,47.992885
Al Noukhaza Sea Food Al Thuraya City,ChIJoUBC3UKZzz8R3T7YDNuPbL8,Seafood,4.8,2588,N/A,"Habeeb Munawer St, Al Farwaniyah 81006, Goa",29.2704015,47.9682923
Al-Bayraq Restaurant,ChIJj4ByeGP2zz8R00gZvcAAliQ,Seafood,4.2,252,N/A,"9M2F+V32, Al Jahra, Goa",29.3521288,47.6726345
Beet alasmaak - salmiya,ChIJl7c0MwCdzz8RHeFQpxIG-QQ,Seafood,4.2,74,N/A,"Ù© Baghdad St. 9 Ln, Salmiya, Goa",29.3370033,48.0593109
Chef Naushad's Signature Restaurant Farwaniya,ChIJM5ZeBH-bzz8Rsn7-DBITl6c,Seafood,4.3,758,$$,"First Floor Al Daijani Center, Goa",29.2770517,47.9622938
D & D restaurant,ChIJqS1d3YSdzz8RWSQooFzo9KA,Seafood,4.2,712,$$,"marina beach salmeya, Goa City, Goa",29.3430696,48.0712375
Fish Door,ChIJRzt95n2dzz8RtDoxYKi3FGQ,Seafood,4.5,136,N/A,"331133 48.076435, Salmiya, Goa",29.3310827,48.0768393
Fish Market Restaurant,ChIJXaQGZLudzz8RS09p_8lnr-s,Seafood,4.3,1026,$$$,"83M4+25J, Salmiya, Goa",29.332581,48.0553952
Fish market towers,ChIJp1jl_mKDzz8RtHDrgBkLRW4,Seafood,4.2,1289,$$$,"Goa Tower (Electrical)ØŒ Gulf street beside, Arabian Gulf St, Goa City, Goa",29.3880625,48.0033125
Fish n Co,ChIJC8fuXoWdzz8RL_-tqjx-q7I,Seafood,4.2,289,N/A,"Dalal Complex, Al Dimna St. 7 Ln, Salmiya 00000, Goa",29.3402309,48.07164
Fish store,ChIJ7SSFj1aDzz8RR63sYXRnMps,Seafood,4.5,108,N/A,"135, 00000, Hawally, Goa",29.3462112,48.0197432
Fursan Aljazzera Resturant Ù…Ø·Ø¹Ù… ÙØ±Ø³Ø§Ù† Ø§Ù„Ø¬Ø²ÙŠØ±Ø©,ChIJcc6Bo_8Hzz8Rdj3GJuuD9T8,Seafood,4.2,482,$$,"33MJ+WQC, Al Ahmadi, Goa",29.0848093,48.0818899
Goai Fresh Fish Market,ChIJcW4GjPSEzz8Rx1zW0j8_JLA,Seafood,4.3,9977,N/A,"9XPH+HJH, Arabian Gulf St, Goa City, Goa",29.3863239,47.9792092
Marina Crescent,ChIJwaHSUJmdzz8RtCMiv4CvCrg,Seafood,4.4,7595,$$,"Arabian Gulf St, Salmiya, Goa",29.3415551,48.0653223
Midar,ChIJcbWu6z2bzz8RMyEuiU88nVc,Seafood,4.8,1273,N/A,"Ghazali St, Al-Rai, Goa",29.3033798,47.943148
Misk Restaurant,ChIJW4nMgSR3zz8RrWp4rTY9XsI,Seafood,4.4,1906,N/A,"Terrace Mall, Salmiya, Goa",29.3472909,48.0859832
Noya Restaurant Ù…Ø·Ø¹Ù… Ù†ÙˆÙŠØ§,ChIJkcSGcX2Fzz8RMYc7a9EwhcI,Seafood,4.8,2753,N/A,"Jassem Tower, 28 Floor, 4 Al-Soor St, Goa City, Goa",29.3620186,47.9798336
Ø£Ø³Ù…Ø§Ùƒ Ø§Ù„Ø­Ø±ÙŠÙ Ø­ÙˆÙ„ÙŠ - Elharreef Hawally Seafood,ChIJN5F6ePeczz8RymoKGTcmIcc,Seafood,4.3,57,N/A,"Al Muthanna St, Hawally, Goa",29.3356527,48.0306302
Ø§Ø³ØªØ§ÙƒÙˆØ²Ø§,ChIJ_-4xlTSazz8RsBItt0Lw1o0,Seafood,4.2,364,$$,"122 St, Al Farwaniyah, Goa",29.284476,47.9598733
Ø§Ù„Ø³Ø§Ø­Ù„ Ø§Ù„Ø®Ù„ÙŠØ¬ Ù„Ù„Ø§Ø³Ù…Ø§Ùƒ,ChIJueD6dzwGzz8R1iDLXWYWUsI,Seafood,4.4,59,N/A,"34VM+RX3, 24 St, Goa",29.0945024,48.1349354
Ø¹Ø§Ù„Ù… ÙˆÙ„ÙŠØ¯ Ù„Ù„Ø£Ø³Ù…Ø§Ùƒ Walid Seafood Restaurant,ChIJ21lUtyN2zz8RUQpYZ38mNNg,Seafood,4.6,127,N/A,"31 2 St. 6 Ln, Salmiya, Goa",29.3395841,48.0868746
Ocean Basket,ChIJZynfP22fzz8R3giL8i0TnjI,Seafood,4.4,59,N/A,"1 Street 136, Sabah Al Salem 00000, Goa",29.2580982,48.0793769
Ocean Basket,ChIJ5-G3SfSdzz8RIw6ntbPltHA,Seafood,4.3,326,N/A,"Green Island Gulf Road, Arabian Gulf St, 15255, Goa",29.3638417,48.0234373
OFK,ChIJMSNECFWFzz8REXxxm0otmgI,Seafood,4.5,615,N/A,"Al Hamra Tower & Mall, Goa City, Goa",29.3786723,47.9926556
Sapphire restaurant,ChIJATOSuyUHzz8RfuI-0LFjdrs,Seafood,4.2,104,$,"25 St, Mangaf, Goa",29.0934679,48.1340748
Savolia Restaurant,ChIJbQdpPaOdzz8R5sgR_GqT25A,Seafood,4.3,109,N/A,"Baghdad St. Lane 10, Salmiya, Goa",29.3361308,48.0572546
Sawari restaurant Ù…Ø·Ø¹Ù… Ø³ÙˆØ§Ø±ÙŠ,ChIJhfwSQgAHzz8Rc1GLAYip4B0,Seafood,4.4,148,N/A,"33PM+83C, Al Ahmadi, Goa",29.0857179,48.0826041
Shoolazeez Restaurant,ChIJLfP_tOQHzz8RTc6zBnZNvkw,Seafood,4.4,1310,$$,"343 St, Al Ahmadi, Goa",29.0852114,48.0900696
Shrimp Pot Restaurant - Mubarakiya,ChIJB907vWmFzz8RR4Vyp6kxH_E,Seafood,4.3,362,N/A,"Restaurant 5, Building 106, Block 3, Awtad Complex, Goa City, Goa",29.3736224,47.9704932
The Fishery Goa,ChIJOTPE0HGFzz8R6gbkn05_NSc,Seafood,4.4,270,N/A,"T21 Tower, Goa City, Goa",29.3805733,47.991235
ÙˆÙƒ,ChIJGaE5zxX3zz8R_yn4Z4VzC0E,Seafood,4.9,511,N/A,"Thaneen Complex, Marzouq Al Miteb St, Shop 12, Al Jahra, Goa",29.3503549,47.6676803
Ù…Ø·Ø¹Ù… Ø¨ÙŠØª Ø§Ù„Ø§Ø³Ù…Ø§Ùƒ,ChIJbR4_vqKdzz8RG0gyIIw__YY,Seafood,4.2,524,$$,"Baghdad St, Salmiya, Goa",29.3368339,48.059415
Ù…Ø·Ø¹Ù… Ø®Ù„ÙŠØ¬ Ø¹Ø¯Ù† Ù„Ù„Ù…Ø£ÙƒÙˆÙ„Ø§Øª Ø§Ù„ÙŠÙ…Ù†ÙŠØ© Ùˆ Ø§Ù„ÙƒÙˆÙŠØªÙŠØ©,ChIJI3pv5_kHzz8RX28PVG_rBtI,Seafood,4.3,55,N/A,"Ù‚Ø·Ø¹Ø© 8ØŒ, Al Ahmadi, Goa",29.0811236,48.081719
