Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
300F Smokehouse Restaurant,ChIJSzjdYEkJzz8RPj4UmdUrJrM,Steakhouse,4.9,2795,N/A,"Ù‚Ø·Ø¹Ù‡ 4ØŒØŒ, Goa",29.1541586,48.1256221
300F Smokehouse Restaurant,ChIJEeUHanCFzz8R05KuNKRKhtk,Steakhouse,4.7,1814,N/A,"300F Smokehouse, Shuwaikh Industrial, Goa",29.3410943,47.9411398
Ahmadi Co op Restaurant,ChIJ2fBJo8inzz8RUPK5XAz37wk,Steakhouse,4.2,93,$,"Al Ahmadi, Goa",29.0827063,48.0652712
Al Ahmadi Restaurant,ChIJxSDKxFKZzz8RJxCKtV94LyA,Steakhouse,4.9,1393,N/A,"Habeeb Munawer St, Al Farwaniyah, Goa",29.2769662,47.9627917
Al Boom Steak & Seafood Restaurant,ChIJnw0HlvN1zz8RSbk8JhZ-lBA,Steakhouse,4.4,325,N/A,"Radisson Blu Hotel, Goa Al Bida'a Road, Al Ta'awn Street, Goa",29.3014539,48.0880362
Applebee's,ChIJCRQ002D2zz8RgWaxEwraqGE,Steakhouse,4.2,225,$$,"Block 3, 3 St, Al Jahra 00000, Goa",29.3505561,47.667304
Arnies Sliders,ChIJGy1aptz3zz8Rc4xf0RrQbM4,Steakhouse,4.4,56,N/A,"9M38+PG5, 4 St, Al Jahra, Goa",29.354228,47.6663437
ave restaurant,ChIJ5xhK0hSFzz8Rx5U0kB1jH_k,Steakhouse,4.3,523,N/A,"5G Salhiya St, Goa City, Goa",29.3681325,47.9710657
BARREL,ChIJuW8TKACFzz8RTzy_eeMQpO8,Steakhouse,4.6,447,N/A,"1 65 St, Goa City, Goa",29.3792328,47.9995556
Black Rabbit (Assima Mall),ChIJmw5qVpyFzz8R4i2SIheEhCM,Steakhouse,4.3,117,N/A,"Al-Shuhada St, Goa City, Goa",29.3738696,47.9871814
Burger Street,ChIJgYPOz16dzz8RfBoA4w32j-g,Steakhouse,4.7,998,N/A,"Baghdad St, Salmiya, Goa",29.3366338,48.0505534
Chops (Goa City),ChIJH29tIMqFzz8RrAMVss4J8W4,Steakhouse,4.2,368,N/A,"Ahmad Al Jaber St, Goa City, Goa",29.3823145,47.9863758
