Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
Al Ahmadi Restaurant,ChIJxSDKxFKZzz8RJxCKtV94LyA,Turkish,4.9,1393,N/A,"Habeeb Munawer St, Al Farwaniyah, Goa",29.2769662,47.9627917
Al Reef Turkey restaurant and fatayer,ChIJk214kDoGzz8RnT06hNtVlTw,Turkish,4.2,202,$$,"no 39, 34VJ+HJJ, Mangaf, Goa",29.0941953,48.1306921
Al-Bayraq Restaurant,ChIJj4ByeGP2zz8R00gZvcAAliQ,Turkish,4.2,252,N/A,"9M2F+V32, Al Jahra, Goa",29.3521288,47.6726345
Bazaar gurme,ChIJbx8vWPF1zz8RaL_Hv-7478Q,Turkish,4.2,704,$$,"833P+699, Al-Taawen Street Arabella Mall Ground Floor, Rumaithiya, Goa",29.3030361,48.085981
Emirgan Sutis (The Avenues),ChIJWcwkdoyazz8RU0eWjuBPzuI,Turkish,4.2,376,N/A,"The Avenues Mall, Sheikh Zayed Bin Sulthan Al Nahyan Rd, Phase 3, Shuwaikh 13037, Goa",29.3031428,47.9370188
Fursan Aljazzera Resturant Ù…Ø·Ø¹Ù… ÙØ±Ø³Ø§Ù† Ø§Ù„Ø¬Ø²ÙŠØ±Ø©,ChIJcc6Bo_8Hzz8Rdj3GJuuD9T8,Turkish,4.2,482,$$,"33MJ+WQC, Al Ahmadi, Goa",29.0848093,48.0818899
GUZEL ISTANBUL ØºÙˆØ²ÙŠÙ„ Ø§Ø³Ø·Ù†Ø¨ÙˆÙ„,ChIJu9uItMGEzz8RmBPddJLKQ_8,Turkish,4.4,52,$,"1 Abdulla Al Mubarak St, Goa City, Goa",29.3700461,47.9785143
Izmir Grill,ChIJaf0X-ZSVzj8Rpvqcl4u9Zo4,Turkish,4.7,144,N/A,"M8GX+GW4, 278 Road, Al Khiran, Goa",28.6740402,48.34937
Izmir Restaurant,ChIJf1LrjFALzz8Rqc5MeCR3XAc,Turkish,4.4,268,$$,"Street 87, Goa",29.1933928,48.1135872
Izmir restaurant,ChIJ5TsEzwSdzz8RmMSpB8BzOIM,Turkish,4.2,315,N/A,"83JG+J63, Qatar St, Salmiya, Goa",29.3314863,48.075521
Kasap Turkish Steakhouse,ChIJ5VQJ__Cczz8R77T8s9N1EjI,Turkish,4.4,731,N/A,"Hawally, Goa",29.3404138,48.0284567
Kebab Al Hujjah,ChIJDf1I0FODzz8RTi-aOgUTOLg,Turkish,4.4,2065,$,"9295+633, Mohamad Rafei Marafie St, Goa",29.3680329,48.0076746
Meat Moot,ChIJHwkL51Kbzz8RJBCWXK5bkQo,Turkish,4.6,419,N/A,"8W3P+3XJ, Goa",29.3027233,47.9373863
Ø¹Ø´Ù‚ ÙƒØ§ÙÙŠÙ‡,ChIJPQ84IET3zz8RJR20Syzkg08,Turkish,4.3,66,N/A,"8MQC+PGV, Al Jahra, Goa",29.3393653,47.6712975
ØºÙˆÙ„Ùˆ Ø£ÙˆØºÙ„Ùˆ ( Ø¨Ù‚Ù„Ø§ÙˆØ¬ÙŠ ÙƒÙ†ÙØ§Ù†ÙŠ ) Ù„Ù„Ø­Ù„ÙˆÙŠØ§Øª Ø§Ù„ØªØ±ÙƒÙŠØ© gulluoglu,ChIJPV6lF4X2zz8R4xJd99t0rZg,Turkish,4.3,97,N/A,"3 St. 1 Ln, Al Jahra, Goa",29.3390752,47.6733721
Samraa Beirut,ChIJKSUmfyV2zz8R8TaQ84LZLqE,Turkish,4.4,189,N/A,"83WQ+G27, Salmiya, Goa",29.34632,48.0876283
Sawari restaurant Ù…Ø·Ø¹Ù… Ø³ÙˆØ§Ø±ÙŠ,ChIJhfwSQgAHzz8Rc1GLAYip4B0,Turkish,4.4,148,N/A,"33PM+83C, Al Ahmadi, Goa",29.0857179,48.0826041
Shoolazeez Restaurant,ChIJLfP_tOQHzz8RTc6zBnZNvkw,Turkish,4.4,1310,$$,"343 St, Al Ahmadi, Goa",29.0852114,48.0900696
'Stambul,ChIJczQTke2Zzz8RRi9ZIkMXJlI,Turkish,4.6,303,N/A,"360 Mall, 6th Ring Road, Al Zahra, Goa 47451, Goa",29.2667105,47.9959279
Sultanchef Steakhouse Ø³Ù„Ø·Ø§Ù† Ø´ÙŠÙ,ChIJIwLLuSh2zz8RYFsoObaWUFU,Turkish,4.3,584,$$$$,"The AvenuesØŒ 1st Floor , Galleria , Grand Avenues, Goa",29.3027493,47.9377453
